['abstractmethod', 'alexnet', 'helloworld', 'mobilenet']
Namespace(arch='mobilenet', budget=None, budget_ratio=0.25, dataset_path='data/', finetune_lr=0.001, gpus=[1], init_model_path='models/mobilenet/model.pth.tar', init_resource_reduction=None, init_resource_reduction_ratio=0.025, input_data_shape=[3, 224, 224], lookup_table_path=None, max_iters=30, resource_reduction_decay=0.96, resource_type='FLOPS', resume=False, save_interval=-1, short_term_fine_tune_iteration=500, working_folder='models/mobilenet/prune-by-mac')
Namespace(arch='mobilenet', batch_size=128, data='../data/', epochs=150, lr=0.001, momentum=0.9, no_cuda=False, resume='models/mobilenet/prune-by-mac/master/iter_0_best_model.pth.tar', save_dir='models/mobilenet/prune-by-mac/master/finetune_model.pth.tar', start_epoch=0, weight_decay=0.0005, workers=4)
Files already downloaded and verified
Files already downloaded and verified
Loading checkpoint 'models/mobilenet/prune-by-mac/master/iter_0_best_model.pth.tar'
Epoch [1/150]
===================================================================

Percent: [----------] 0.00% (0/391) ESA:   977.59s, loss: 0.21, acc: 52.34%
Percent: [----------] 0.26% (1/391) ESA:   507.71s, loss: 0.23, acc: 42.19%
Percent: [----------] 0.51% (2/391) ESA:   351.47s, loss: 0.24, acc: 46.09%
Percent: [----------] 0.77% (3/391) ESA:   275.34s, loss: 0.20, acc: 57.81%
Percent: [----------] 1.02% (4/391) ESA:   228.90s, loss: 0.20, acc: 54.69%
Percent: [----------] 1.28% (5/391) ESA:   199.35s, loss: 0.23, acc: 46.88%
Percent: [----------] 1.53% (6/391) ESA:   176.80s, loss: 0.22, acc: 51.56%
Percent: [----------] 1.79% (7/391) ESA:   161.50s, loss: 0.21, acc: 50.78%
Percent: [----------] 2.05% (8/391) ESA:   149.38s, loss: 0.20, acc: 53.91%
Percent: [----------] 2.30% (9/391) ESA:   138.96s, loss: 0.19, acc: 54.69%
Percent: [----------] 2.56% (10/391) ESA:   131.71s, loss: 0.20, acc: 51.56%
Percent: [----------] 2.81% (11/391) ESA:   123.69s, loss: 0.21, acc: 52.34%
Percent: [----------] 3.07% (12/391) ESA:   117.68s, loss: 0.22, acc: 44.53%
Percent: [----------] 3.33% (13/391) ESA:   113.09s, loss: 0.19, acc: 60.16%
Percent: [----------] 3.58% (14/391) ESA:   108.67s, loss: 0.19, acc: 57.03%
Percent: [----------] 3.84% (15/391) ESA:   104.93s, loss: 0.23, acc: 50.00%
Percent: [----------] 4.09% (16/391) ESA:   100.84s, loss: 0.22, acc: 50.00%
Percent: [----------] 4.35% (17/391) ESA:    97.52s, loss: 0.19, acc: 56.25%
Percent: [----------] 4.60% (18/391) ESA:    94.61s, loss: 0.21, acc: 50.78%
Percent: [----------] 4.86% (19/391) ESA:    92.30s, loss: 0.23, acc: 45.31%
Percent: [#---------] 5.12% (20/391) ESA:    90.00s, loss: 0.21, acc: 53.91%
Percent: [#---------] 5.37% (21/391) ESA:    87.95s, loss: 0.19, acc: 53.91%
Percent: [#---------] 5.63% (22/391) ESA:    85.88s, loss: 0.21, acc: 50.78%
Percent: [#---------] 5.88% (23/391) ESA:    83.91s, loss: 0.21, acc: 47.66%
Percent: [#---------] 6.14% (24/391) ESA:    82.20s, loss: 0.20, acc: 53.12%
Percent: [#---------] 6.39% (25/391) ESA:    80.91s, loss: 0.20, acc: 57.81%
Percent: [#---------] 6.65% (26/391) ESA:    79.34s, loss: 0.21, acc: 52.34%
Percent: [#---------] 6.91% (27/391) ESA:    78.34s, loss: 0.20, acc: 51.56%
Percent: [#---------] 7.16% (28/391) ESA:    76.95s, loss: 0.22, acc: 46.09%
Percent: [#---------] 7.42% (29/391) ESA:    75.59s, loss: 0.22, acc: 56.25%
Percent: [#---------] 7.67% (30/391) ESA:    74.75s, loss: 0.20, acc: 51.56%
Percent: [#---------] 7.93% (31/391) ESA:    73.45s, loss: 0.20, acc: 53.91%
Percent: [#---------] 8.18% (32/391) ESA:    72.31s, loss: 0.20, acc: 54.69%
Percent: [#---------] 8.44% (33/391) ESA:    71.68s, loss: 0.22, acc: 50.78%
Percent: [#---------] 8.70% (34/391) ESA:    70.46s, loss: 0.20, acc: 53.12%
Percent: [#---------] 8.95% (35/391) ESA:    69.52s, loss: 0.20, acc: 55.47%
Percent: [#---------] 9.21% (36/391) ESA:    68.79s, loss: 0.19, acc: 58.59%
Percent: [#---------] 9.46% (37/391) ESA:    68.02s, loss: 0.21, acc: 50.78%
Percent: [#---------] 9.72% (38/391) ESA:    67.44s, loss: 0.21, acc: 59.38%
Percent: [#---------] 9.97% (39/391) ESA:    66.59s, loss: 0.20, acc: 55.47%
Percent: [#---------] 10.23% (40/391) ESA:    66.02s, loss: 0.20, acc: 55.47%
Percent: [#---------] 10.49% (41/391) ESA:    65.54s, loss: 0.22, acc: 46.88%
Percent: [#---------] 10.74% (42/391) ESA:    65.15s, loss: 0.21, acc: 53.91%
Percent: [#---------] 11.00% (43/391) ESA:    64.42s, loss: 0.20, acc: 57.81%
Percent: [#---------] 11.25% (44/391) ESA:    63.95s, loss: 0.19, acc: 54.69%
Percent: [#---------] 11.51% (45/391) ESA:    63.41s, loss: 0.19, acc: 53.12%
Percent: [#---------] 11.77% (46/391) ESA:    62.84s, loss: 0.21, acc: 49.22%
Percent: [#---------] 12.02% (47/391) ESA:    62.43s, loss: 0.21, acc: 51.56%
Percent: [#---------] 12.28% (48/391) ESA:    62.07s, loss: 0.21, acc: 52.34%
Percent: [#---------] 12.53% (49/391) ESA:    61.48s, loss: 0.20, acc: 54.69%
Percent: [#---------] 12.79% (50/391) ESA:    61.03s, loss: 0.21, acc: 48.44%
Percent: [#---------] 13.04% (51/391) ESA:    60.49s, loss: 0.21, acc: 50.78%
Percent: [#---------] 13.30% (52/391) ESA:    60.11s, loss: 0.22, acc: 49.22%
Percent: [#---------] 13.55% (53/391) ESA:    59.58s, loss: 0.22, acc: 52.34%
Percent: [#---------] 13.81% (54/391) ESA:    59.27s, loss: 0.20, acc: 47.66%
Percent: [#---------] 14.07% (55/391) ESA:    59.19s, loss: 0.21, acc: 49.22%
Percent: [#---------] 14.32% (56/391) ESA:    58.77s, loss: 0.19, acc: 57.81%
Percent: [#---------] 14.58% (57/391) ESA:    58.59s, loss: 0.20, acc: 49.22%
Percent: [#---------] 14.83% (58/391) ESA:    58.06s, loss: 0.20, acc: 55.47%
Percent: [##--------] 15.09% (59/391) ESA:    57.62s, loss: 0.21, acc: 53.91%
Percent: [##--------] 15.35% (60/391) ESA:    57.17s, loss: 0.21, acc: 51.56%
Percent: [##--------] 15.60% (61/391) ESA:    56.78s, loss: 0.21, acc: 53.12%
Percent: [##--------] 15.86% (62/391) ESA:    56.38s, loss: 0.20, acc: 53.91%
Percent: [##--------] 16.11% (63/391) ESA:    55.96s, loss: 0.21, acc: 55.47%
Percent: [##--------] 16.37% (64/391) ESA:    55.66s, loss: 0.19, acc: 58.59%
Percent: [##--------] 16.62% (65/391) ESA:    55.28s, loss: 0.21, acc: 55.47%
Percent: [##--------] 16.88% (66/391) ESA:    55.13s, loss: 0.20, acc: 53.12%
Percent: [##--------] 17.14% (67/391) ESA:    54.72s, loss: 0.20, acc: 55.47%
Percent: [##--------] 17.39% (68/391) ESA:    54.34s, loss: 0.21, acc: 54.69%
Percent: [##--------] 17.65% (69/391) ESA:    54.14s, loss: 0.20, acc: 53.12%
Percent: [##--------] 17.90% (70/391) ESA:    53.76s, loss: 0.19, acc: 53.91%
Percent: [##--------] 18.16% (71/391) ESA:    53.53s, loss: 0.21, acc: 47.66%
Percent: [##--------] 18.41% (72/391) ESA:    53.30s, loss: 0.21, acc: 53.91%
Percent: [##--------] 18.67% (73/391) ESA:    53.19s, loss: 0.20, acc: 53.91%
Percent: [##--------] 18.93% (74/391) ESA:    52.75s, loss: 0.21, acc: 56.25%
Percent: [##--------] 19.18% (75/391) ESA:    52.39s, loss: 0.21, acc: 53.12%
Percent: [##--------] 19.44% (76/391) ESA:    52.13s, loss: 0.20, acc: 53.12%
Percent: [##--------] 19.69% (77/391) ESA:    52.00s, loss: 0.21, acc: 47.66%
Percent: [##--------] 19.95% (78/391) ESA:    51.51s, loss: 0.18, acc: 66.41%
Percent: [##--------] 20.20% (79/391) ESA:    51.31s, loss: 0.21, acc: 51.56%
Percent: [##--------] 20.46% (80/391) ESA:    50.91s, loss: 0.19, acc: 61.72%
Percent: [##--------] 20.72% (81/391) ESA:    50.71s, loss: 0.20, acc: 51.56%
Percent: [##--------] 20.97% (82/391) ESA:    50.50s, loss: 0.22, acc: 50.00%
Percent: [##--------] 21.23% (83/391) ESA:    50.19s, loss: 0.20, acc: 57.03%
Percent: [##--------] 21.48% (84/391) ESA:    50.01s, loss: 0.22, acc: 51.56%
Percent: [##--------] 21.74% (85/391) ESA:    49.73s, loss: 0.22, acc: 47.66%
Percent: [##--------] 22.00% (86/391) ESA:    49.50s, loss: 0.19, acc: 61.72%
Percent: [##--------] 22.25% (87/391) ESA:    49.29s, loss: 0.19, acc: 54.69%
Percent: [##--------] 22.51% (88/391) ESA:    49.06s, loss: 0.21, acc: 54.69%
Percent: [##--------] 22.76% (89/391) ESA:    48.83s, loss: 0.20, acc: 55.47%
Percent: [##--------] 23.02% (90/391) ESA:    48.54s, loss: 0.20, acc: 52.34%
Percent: [##--------] 23.27% (91/391) ESA:    48.36s, loss: 0.20, acc: 53.12%
Percent: [##--------] 23.53% (92/391) ESA:    48.16s, loss: 0.19, acc: 61.72%
Percent: [##--------] 23.79% (93/391) ESA:    47.95s, loss: 0.20, acc: 53.91%
Percent: [##--------] 24.04% (94/391) ESA:    47.77s, loss: 0.20, acc: 53.12%
Percent: [##--------] 24.30% (95/391) ESA:    47.51s, loss: 0.20, acc: 58.59%
Percent: [##--------] 24.55% (96/391) ESA:    47.34s, loss: 0.20, acc: 53.12%
Percent: [##--------] 24.81% (97/391) ESA:    47.09s, loss: 0.22, acc: 44.53%
Percent: [###-------] 25.06% (98/391) ESA:    46.82s, loss: 0.20, acc: 53.91%
Percent: [###-------] 25.32% (99/391) ESA:    46.67s, loss: 0.21, acc: 55.47%
Percent: [###-------] 25.57% (100/391) ESA:    46.49s, loss: 0.21, acc: 55.47%
Percent: [###-------] 25.83% (101/391) ESA:    46.23s, loss: 0.20, acc: 54.69%
Percent: [###-------] 26.09% (102/391) ESA:    45.98s, loss: 0.22, acc: 47.66%
Percent: [###-------] 26.34% (103/391) ESA:    45.70s, loss: 0.21, acc: 50.78%
Percent: [###-------] 26.60% (104/391) ESA:    45.53s, loss: 0.22, acc: 49.22%
Percent: [###-------] 26.85% (105/391) ESA:    45.33s, loss: 0.20, acc: 53.91%
Percent: [###-------] 27.11% (106/391) ESA:    45.07s, loss: 0.19, acc: 57.81%
Percent: [###-------] 27.37% (107/391) ESA:    44.92s, loss: 0.21, acc: 52.34%
Percent: [###-------] 27.62% (108/391) ESA:    44.69s, loss: 0.21, acc: 53.91%
Percent: [###-------] 27.88% (109/391) ESA:    44.53s, loss: 0.21, acc: 46.09%
Percent: [###-------] 28.13% (110/391) ESA:    44.28s, loss: 0.21, acc: 55.47%
Percent: [###-------] 28.39% (111/391) ESA:    44.11s, loss: 0.21, acc: 51.56%
Percent: [###-------] 28.64% (112/391) ESA:    43.82s, loss: 0.20, acc: 57.03%
Percent: [###-------] 28.90% (113/391) ESA:    43.58s, loss: 0.21, acc: 53.12%
Percent: [###-------] 29.16% (114/391) ESA:    43.35s, loss: 0.21, acc: 58.59%
Percent: [###-------] 29.41% (115/391) ESA:    43.19s, loss: 0.19, acc: 58.59%
Percent: [###-------] 29.67% (116/391) ESA:    42.97s, loss: 0.18, acc: 59.38%
Percent: [###-------] 29.92% (117/391) ESA:    42.99s, loss: 0.21, acc: 49.22%
Percent: [###-------] 30.18% (118/391) ESA:    42.63s, loss: 0.19, acc: 57.81%
Percent: [###-------] 30.43% (119/391) ESA:    42.45s, loss: 0.20, acc: 60.94%
Percent: [###-------] 30.69% (120/391) ESA:    42.28s, loss: 0.20, acc: 56.25%
Percent: [###-------] 30.95% (121/391) ESA:    42.10s, loss: 0.21, acc: 51.56%
Percent: [###-------] 31.20% (122/391) ESA:    41.95s, loss: 0.20, acc: 53.91%
Percent: [###-------] 31.46% (123/391) ESA:    41.67s, loss: 0.19, acc: 56.25%
Percent: [###-------] 31.71% (124/391) ESA:    41.51s, loss: 0.20, acc: 57.03%
Percent: [###-------] 31.97% (125/391) ESA:    41.36s, loss: 0.18, acc: 57.03%
Percent: [###-------] 32.23% (126/391) ESA:    41.16s, loss: 0.19, acc: 60.16%
Percent: [###-------] 32.48% (127/391) ESA:    40.96s, loss: 0.20, acc: 55.47%
Percent: [###-------] 32.74% (128/391) ESA:    40.80s, loss: 0.22, acc: 46.09%
Percent: [###-------] 32.99% (129/391) ESA:    40.52s, loss: 0.20, acc: 50.78%
Percent: [###-------] 33.25% (130/391) ESA:    40.42s, loss: 0.19, acc: 54.69%
Percent: [###-------] 33.50% (131/391) ESA:    40.22s, loss: 0.20, acc: 60.94%
Percent: [###-------] 33.76% (132/391) ESA:    40.03s, loss: 0.19, acc: 67.19%
Percent: [###-------] 34.02% (133/391) ESA:    39.94s, loss: 0.21, acc: 45.31%
Percent: [###-------] 34.27% (134/391) ESA:    39.70s, loss: 0.22, acc: 49.22%
Percent: [###-------] 34.53% (135/391) ESA:    39.54s, loss: 0.19, acc: 60.94%
Percent: [###-------] 34.78% (136/391) ESA:    39.32s, loss: 0.20, acc: 60.94%
Percent: [####------] 35.04% (137/391) ESA:    39.14s, loss: 0.20, acc: 54.69%
Percent: [####------] 35.29% (138/391) ESA:    38.97s, loss: 0.23, acc: 44.53%
Percent: [####------] 35.55% (139/391) ESA:    38.76s, loss: 0.22, acc: 48.44%
Percent: [####------] 35.81% (140/391) ESA:    38.62s, loss: 0.20, acc: 57.03%
Percent: [####------] 36.06% (141/391) ESA:    38.42s, loss: 0.18, acc: 54.69%
Percent: [####------] 36.32% (142/391) ESA:    38.21s, loss: 0.21, acc: 53.12%
Percent: [####------] 36.57% (143/391) ESA:    38.01s, loss: 0.20, acc: 59.38%
Percent: [####------] 36.83% (144/391) ESA:    37.82s, loss: 0.23, acc: 43.75%
Percent: [####------] 37.08% (145/391) ESA:    37.62s, loss: 0.21, acc: 53.91%
Percent: [####------] 37.34% (146/391) ESA:    37.43s, loss: 0.20, acc: 52.34%
Percent: [####------] 37.60% (147/391) ESA:    37.23s, loss: 0.21, acc: 53.12%
Percent: [####------] 37.85% (148/391) ESA:    37.05s, loss: 0.21, acc: 54.69%
Percent: [####------] 38.11% (149/391) ESA:    36.86s, loss: 0.19, acc: 59.38%
Percent: [####------] 38.36% (150/391) ESA:    36.73s, loss: 0.18, acc: 50.78%
Percent: [####------] 38.62% (151/391) ESA:    36.49s, loss: 0.22, acc: 46.88%
Percent: [####------] 38.88% (152/391) ESA:    36.31s, loss: 0.22, acc: 46.88%
Percent: [####------] 39.13% (153/391) ESA:    36.15s, loss: 0.21, acc: 55.47%
Percent: [####------] 39.39% (154/391) ESA:    35.95s, loss: 0.21, acc: 50.00%
Percent: [####------] 39.64% (155/391) ESA:    35.83s, loss: 0.19, acc: 63.28%
Percent: [####------] 39.90% (156/391) ESA:    35.58s, loss: 0.21, acc: 51.56%
Percent: [####------] 40.15% (157/391) ESA:    35.44s, loss: 0.19, acc: 60.16%
